16
0 1 2
0 4 9
0 6 20
0 7 8
0 9 19
0 10 1
0 11 5
0 12 14
0 13 2
0 15 11
1 0 16
1 3 17
1 4 10
1 5 19
1 6 10
1 7 18
1 8 3
1 9 16
1 10 18
1 12 7
1 14 17
1 15 3
2 0 14
2 3 20
2 5 17
2 7 5
2 9 12
2 10 12
2 11 19
2 12 20
3 0 13
3 1 5
3 6 7
3 7 18
3 9 8
3 10 16
3 11 16
3 12 12
3 13 16
3 14 6
3 15 10
4 2 7
4 7 7
4 8 11
4 10 10
4 11 3
4 13 12
5 1 1
5 2 6
5 4 5
5 7 3
5 8 7
5 9 16
5 12 16
5 13 19
5 14 7
6 1 11
6 2 16
6 4 6
6 5 8
6 8 1
6 9 17
6 12 18
6 13 14
6 14 13
6 15 7
7 0 1
7 1 3
7 3 4
7 4 9
7 5 7
7 6 5
7 8 17
7 11 5
7 13 14
7 14 9
7 15 3
8 0 19
8 1 8
8 7 14
8 9 7
8 10 17
8 14 3
9 0 20
9 1 2
9 2 12
9 4 12
9 7 14
9 10 19
9 14 5
10 4 8
10 5 4
10 6 8
10 9 8
10 11 2
10 13 19
10 14 15
11 0 8
11 1 12
11 2 6
11 3 16
11 4 11
11 5 7
11 8 20
11 9 9
11 10 3
11 12 8
11 13 20
11 14 5
11 15 9
12 0 7
12 1 12
12 3 13
12 4 1
12 5 7
12 7 19
12 9 9
12 10 20
12 11 5
12 13 7
12 14 3
13 0 6
13 1 12
13 2 8
13 3 2
13 4 4
13 6 20
13 7 14
13 8 11
13 10 15
13 11 5
13 14 18
14 1 6
14 2 12
14 4 18
14 5 11
14 7 2
14 9 8
14 12 6
15 0 1
15 1 8
15 2 7
15 3 11
15 7 3
15 8 18
15 9 6
15 10 14
15 11 13
15 12 16
